human	humanLabel	spouse	spouseLabel	child	childLabel	sibling	siblingLabel	father	fatherLabel	mother	motherLabel
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39589	Caesarion	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q39589	Caesarion	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q51673	Mark Antony	http://www.wikidata.org/entity/Q39589	Caesarion	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q40058	Cleopatra Selene II	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q40058	Cleopatra Selene II	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q51673	Mark Antony	http://www.wikidata.org/entity/Q40058	Cleopatra Selene II	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q350246	Ptolemy Philadelphus	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q350246	Ptolemy Philadelphus	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q51673	Mark Antony	http://www.wikidata.org/entity/Q350246	Ptolemy Philadelphus	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q351538	Alexander Helios	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q351538	Alexander Helios	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q51673	Mark Antony	http://www.wikidata.org/entity/Q351538	Alexander Helios	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q39589	Caesarion	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q39589	Caesarion	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q51673	Mark Antony	http://www.wikidata.org/entity/Q39589	Caesarion	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q40058	Cleopatra Selene II	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q40058	Cleopatra Selene II	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q51673	Mark Antony	http://www.wikidata.org/entity/Q40058	Cleopatra Selene II	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q350246	Ptolemy Philadelphus	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q350246	Ptolemy Philadelphus	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q51673	Mark Antony	http://www.wikidata.org/entity/Q350246	Ptolemy Philadelphus	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q39938	Ptolemy XIII Theos Philopator	http://www.wikidata.org/entity/Q351538	Alexander Helios	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
http://www.wikidata.org/entity/Q635	Cleopatra	http://www.wikidata.org/entity/Q40017	Ptolemy XIV of Egypt	http://www.wikidata.org/entity/Q351538	Alexander Helios	http://www.wikidata.org/entity/Q40013	Arsinoe IV of Egypt	http://www.wikidata.org/entity/Q39991	Ptolemy XII Auletes	http://www.wikidata.org/entity/Q40242	Cleopatra V of Egypt
